Name,Street Address,City,State,Zipcode,Latitude,Longitude,Category
Th¨¦atre Banque Nationale,534 Rue Jacques-Cartier E,Saguenay,QC,G7H 5C8,48.425407,-71.05248,theatre/performance and concert hall
Mount Forest Branch Library,118 Main Street North,Wellington North,ON,,43.98274571,-80.73691774,library or archives
Rails End Gallery And Arts Centre,23 York Street,Dysart et al,ON,K0M 1S0,45.0465128,-78.51110462,gallery
Royal Alberta Museum,12845 102 Avenue Nw,Edmonton,AB,,53.54299255,-113.5416464,museum
Bellevue House National Historic Site,35 Centre St,Kingston,ON,,44.22299122,-76.50403807,heritage or historic site
Simcoe Public Library,46 Colborne Street,Norfolk County,ON,N3Y 4H3,42.83585395,-80.30693863,library or archives
Chapelle Du S¨¦minaire De Saint-Hyacinthe,150 Rue Girouard Est,Saint Hyacinthe,QC,J2S 2Y2,45.6318886,-72.942294,museum
Coastal Peoples Fine Arts Gallery Yaletown,1024 Mainland St,Vancouver,BC,V6B 2T4,49.2762084,-123.119591,gallery
Bibliotheque Municipale De Donnacona,300 Rue De-L'¨¦glise,Donnacona,QC,G3M 1Z5,46.6795386,-71.7307057,library or archives
Deep Cove Heritage Society,4360 Gallant Avenue,North Vancouver,BC,V7G 1L2,49.3269993,-122.9501363,heritage or historic site
Bowen Island Public Library,430 Bowen Island,Bowen Island,BC,V0N 1G0,49.379668,-123.333937,library or archives
Arden Theatre,5 St-Anne Street,St. Albert,AB,,53.63347787,-113.6273803,theatre/performance and concert hall
Cabbagetown-Regent Park Museum,201 Winchester Street,Toronto,ON,M4X 1B8,43.6668454,-79.3641548,museum
Grand Manan Museum,1141 776 Route,Grand Manan,NB,E5G 4E9,44.68646,-66.76508861,museum
Cidres Et Vergers Pedneault - Pomiculture ¨¦conomus¨¦e,3384 Ch Des-Coudriers,L'Isle aux Coudres,QC,G0A 3J0,47.4219673,-70.376206,museum
Biblioth¨¨que Et Archives Nationales Du Qu¨¦bec Rimouski,337 Rue Moreault,Rimouski,QC,G5L 1P4,48.46111543,-68.51749227,library or archives
Naval Marine Archive -The Canadian Collection,205 Main Street,Prince Edward County,ON,K0K 2T0,44.0087564,-77.1390394,library or archives
Canmore Museum & Geoscience Centre,902 7Th Avenue,Canmore,AB,T1W 3K1,51.0897772,-115.3603695,museum
Waldheim Branch Library,409 Main Street North,Waldheim,SK,S0K 4R0,52.6224101,-106.6614102,library or archives
H?tel Trois Tilleuls,290 Rue Richelieu,Saint Marc sur Richelieu,QC,J0L 2E0,45.648034,-73.206109,theatre/performance and concert hall
Firefighters Museum of Nova Scotia,451 Main Street,Yarmouth,NS,B5A 1G9,43.8397364,-66.1191372,museum
Doris Mccarthy Gallery (Dmg),1265 Military Trail,Toronto,ON,,43.78395009,-79.18637612,gallery
Vertigo Mystery Theatre,115 9 Av Se,Calgary,AB,,51.04416124,-114.0630898,theatre/performance and concert hall
Th¨¦atre Beaumont-St-Michel,51 Rte 132 O,Saint Michel de Bellechasse,QC,G0R 3S0,46.863839,-70.936011,theatre/performance and concert hall
Galerie D'Art Solange Lebel,57 Boul Gall,Drummondville,QC,J2C 1H5,45.890989,-72.496738,gallery
Cumberland,1599 Tenth Line,Ottawa,ON,K1E 3E8,45.471199,-75.493202,library or archives
Historic Yale Museum,31187 Douglas St,Fraser Valley B,BC,V0K 2S0,49.56263215,-121.4320344,museum
Elmsdale Library,15 Commerce Court Ns,East Hants,NS,B2S 3K5,44.977824,-63.510283,library or archives
Whitemud Crossing,145 Whitemud Crossing,Edmonton,AB,T6J 6L7,53.4794861,-113.5041223,library or archives
Sagebrush Theatre,1300 9Th Ave,Kamloops,BC,,50.66623577,-120.3196391,theatre/performance and concert hall
Clareview,3808 139 Avenue,Edmonton,AB,T5Y 3G4,53.601302,-113.401769,library or archives
St. George's Anglican Church,51 Church St,Moncton,NB,E1C 4Z3,46.0899269,-64.77829907,heritage or historic site
Laurier Museum,16 Rue Laurier Ouest,Victoriaville,QC,G6P 6P3,46.037297,-71.915345,museum
Fort Edmonton Park,7000 143 Street,Edmonton,AB,T5J 2R7,53.5013895,-113.5806189,heritage or historic site
Goderich Library,52 Montr¨¦al St,Goderich,ON,,43.7420315,-81.7127748,library or archives
Langley City Library,20399 Douglas Crescent,Langley,BC,V3A 4B3,49.103549,-122.65676,library or archives
Glebe Art Studio,2456 Princess St,Kingston,ON,,44.25853947,-76.56072713,gallery
Rideau Heights Library,85 Maccauley St,Kingston,ON,,44.26517302,-76.48316751,library or archives
Biblioth¨¨que De Douglastown (Gaspe),28 Rue St-Patrick,Gasp¨¦,QC,G4X 2Y2,48.7627082,-64.3767929,library or archives
Radville Branch Library,420 Floren Street,Radville,SK,S0C 2G0,49.4590615,-104.2970384,library or archives
Mus¨¦e Du Centre Comm¨¦moratif De L'Holocauste ¨¤ Montr¨¦al,5151 Chemin De-La-C?te,Montr¨¦al,QC,H3W 1M6,45.48921315,-73.63679438,museum
St Catharines Museum And Welland Canals Centre,1932 Welland Pkwy,St. Catharines,ON,,43.15510987,-79.19428598,museum
Pickering Museum Village,2365 Concession Rd,Pickering,ON,L0H 1H0,43.9260473,-79.07502453,museum
Soci¨¦t¨¦ D'Histoire De Saint-Basile-Le-Grand,39 Savaria,Saint Basile le Grand,QC,J3N 1L8,45.5261069,-73.2853571,heritage or historic site
Masset Branch,2123 Collison,Masset,BC,V0T 1M0,54.013335,-132.151854,library or archives
Geological Survey of Canada -Logan Hall,601 Booth Street,Ottawa,ON,K1A 0E8,45.401857,-75.70510981,museum
Lambton County Archives,787 Broadway St,Plympton Wyoming,ON,N0N 1T0,42.95918225,-82.11829188,library or archives
Hope Library,1005 6Th Avenue,Hope,BC,V0X 1L0,49.377998,-121.431461,library or archives
The John L. Leamon -Stone Barn Museum,4 Magistrate'S Hill,Brigus,NL,A0A 1K0,47.5356545,-53.2075901,museum
Archev¨ºch¨¦ De Rimouski Archives,34 Rue De-L'¨¦v¨ºch¨¦ Ouest,Rimouski,QC,G5L 4H5,48.44793765,-68.52548988,library or archives
Oblates of Mary Immaculate St. Paul's Province -Oblate Archives,1311 The Crescent,Vancouver,BC,V6H 1T7,49.2556543,-123.1351444,library or archives
Galerie Le Chien D'Or,8 Rue Du Fort,Qu¨¦bec,QC,G1R 4M1,46.813237,-71.205407,gallery
Linart Gallery,183 Mont¨¦e De La Source Cantley,Cantley,QC,J8V 3J2,45.521612,-75.772998,gallery
Valley Museum & Archives,521 Main Street,McBride,BC,V0J 2E0,53.3028565,-120.1633496,museum
Mount Elgin Public Library,333204 Plank Line,South West Oxford,ON,,42.95857763,-80.7924894,library or archives
Mus¨¦e National Des Beaux-Arts Du Qu¨¦bec (Mnbaq),179 Rue Grande All¨¦e O,Qu¨¦bec,QC,G1R 2H1,46.800969,-71.225027,museum
Biblioth¨¨que De Saint-Eus¨¨be,124 Des-Beaux Route,Saint Eus¨¨be,QC,G0L 2Y0,47.5429035,-68.9125552,library or archives
Caboose,9350 Markham Rd,Markham,ON,,43.89261511,-79.26690364,museum
Port Moody Public Library,100 Newport Drive,Port Moody,BC,V3H 3E1,49.282312,-122.829572,library or archives
Toronto District School Board Museum And Archives,16 Phin Avenue,Toronto,ON,M4J 3T2,43.6790039,-79.33695097,museum
BC Wildlife Park,9077 Dallas Drive East,Kamloops,BC,V2C 6V1,50.6545626,-120.0766758,art or cultural centre
Aoe Gallery,245 Centrum Blvd,Ottawa,ON,K1E 0A1,45.48070851,-75.5113172,gallery
Or Gallery,555 Hamilton St,Vancouver,BC,V6B 2R1,49.281406,-123.112094,gallery
Latitude 53 Contemporary Visual Culture,10242 106 St Nw,Edmonton,AB,T5J 1H7,53.54395272,-113.5030654,gallery
Biblioth¨¨que Au Fil Des Pages (Lotbiniere),30 Rue Joly,Lotbini¨¨re,QC,G0S 1S0,46.6165585,-71.937368,library or archives
Mus¨¦e National De La Photographie,400 Rue H¨¦riot,Drummondville,QC,J2B 1B3,45.884339,-72.488762,museum
Landry Residence,140 Rue Maclaren Est,Gatineau,QC,,45.587669,-75.413796,heritage or historic site
Laidlaw Hall,4141 Living Arts,Mississauga,ON,,43.58998758,-79.64603199,gallery
Fort Qu'Appelle Museum,198 Bay Avenue South,Fort Qu'Appelle,SK,S0G 1S0,50.7585146,-103.8016252,museum
Biblioth¨¨que Le Grenier Aux Livres,481 Rue De-L'¨¦glise,Poh¨¦n¨¦gamook,QC,G0L 1J0,47.4884139,-69.2808025,library or archives
Forwarders' Museum,201 Water St,Alfred and Plantagenet,ON,K0E 1T0,45.5300412,-74.9930008,museum
Galaxy Cinemas,357 2 Hwy,Red Deer County,AB,,52.21170362,-113.820265,theatre/performance and concert hall
Biblioth¨¨que Georges-Vanier,2450 Rue Workman,Montr¨¦al,QC,H3J 1L8,45.4835213,-73.5751332,library or archives
Jones,118 Jones Ave,Toronto,ON,M4M 2Z9,43.66595185,-79.3344963,library or archives
Biblioth¨¨que Municipale De Saint-Dominique,488 Saint-Dominique,Saint Dominique,QC,J0H 1L0,45.5663898,-72.8503085,library or archives
Hughenden Public Library,7 Mckenzie Avenue,Hughenden,AB,T0B 2E0,52.5102266,-110.9685268,library or archives
Hyundai Gallery,11770 Lake Dr Se,Calgary,AB,,50.94972875,-114.0669397,gallery
Biblioth¨¨que Aux Quatre Vents,247 Chemin Principal,Saint Hilarion,QC,G0A 3V0,47.5733857,-70.401014,library or archives
M¨¦tis Genealogical Centre of Canada,295 Portage Ave,Winnipeg,MB,R3C 0B9,49.8817415,-97.193665,art or cultural centre
Old Fort Erie,350 Lakeshore Rd,Fort Erie,ON,,42.89351679,-78.92395698,museum
Mus¨¦e Am¨¦rindien Et Inuit,134 Ch Pascal,Godbout,QC,G0H 1G0,49.325175,-67.591758,museum
Corporation Arch¨¦o-08,200 Rue Leblanc,Rouyn Noranda,QC,J0Z 1Y0,48.2485786,-79.0146857,library or archives
Shelburne County Genealogical Society,168 Water St,Shelburne,NS,B0T 1W0,43.763731,-65.32366917,heritage or historic site
Biblio-Mobile Au Chsld ¨¦mile Mc Duff,1440 Boulevard Iberville,Repentigny,QC,,45.78811167,-73.40759859,library or archives
Apple Capital Museum,173 Commercial St,Berwick,NS,B0P 1E0,45.04178711,-64.73498352,museum
Billy Bishop Home: Museum Archives And National Historic Site,948 3Rd Ave West,Owen Sound,ON,N4K 4P6,44.5661347,-80.9477664,museum
9th Line Baptist Church,9350 Markham Rd,Markham,ON,,43.89380235,-79.26684341,museum
Satellite Gallery,560 Seymour St,Vancouver,BC,V6B 3J5,49.283183,-123.114585,gallery
Toronto Reference Library,789 Yonge Street,Toronto,ON,M4W 2G8,43.67173704,-79.38676296,library or archives
Woodside National Historic Park,528 Wellington St N,Kitchener,ON,,43.4636045,-80.48074269,museum
East Garafraxa Twp,4 Amaranth Street,Amaranth,ON,L0N 1G0,43.8913138,-80.287072,library or archives
Tree Lighting Ceremony,2 Wellington Street W,Brampton,ON,L6Y 4R2,43.68503601,-79.75953453,festival site
Crow's Theatre,87 Ravina Cres,Toronto,ON,M4J 3L9,43.67900635,-79.33898958,theatre/performance and concert hall
Emerald Plaza,1547 Merivale,Ottawa,ON,K2G 4V3,45.354698,-75.733398,library or archives
Valleyview Municipal Library,4804 50 Avenue,Valleyview,AB,T0H 3N0,55.06829,-117.2772599,library or archives
Science North,100 Ramsey Rd,Greater Sudbury / Grand Sudbury,ON,P3E 5S9,46.4691509,-80.9940416,museum
Shelburne Public Library,201 Owen St,Shelburne,ON,,44.0795,-80.2048,library or archives
Salisbury Public Library,3215 Main St,Salisbury,NB,E4J 2K7,46.026047,-65.0446821,library or archives
Biblioth¨¨que La Ruche Litteraire (Cap-Chat),27 Des-¨¦coliers,Cap Chat,QC,G0J 1E0,49.0949821,-66.6907385,library or archives
Transportation Building,9350 Markham Rd,Markham,ON,,43.89431345,-79.2669138,museum
Montr¨¦al International Classical Guitar Festival And Competition,1450 Rue Guy,Montr¨¦al,QC,H3H 1J5,45.495278,-73.579044,festival site
Lennoxville-Ascot Historical And Museum Society,9 Speid St,Sherbrooke,QC,J1M 1R9,45.3686635,-71.8604675,museum
"Korean Cultural Centre (Community Centre, Dance Studio)",1133 Leslie St,Toronto,ON,M3C 2J6,43.72635803,-79.34850603,art or cultural centre
Biblioth¨¨que De Val-D'Espoir (Perce),1240 5E Rang Est,Perc¨¦,QC,G0C 3G0,48.51393,-64.4000659,library or archives
Blue Angel Gallery,243 James St North,Hamilton,ON,L8R 2L2,43.262836,-79.866525,gallery
W.W. Lewis Memorial Library,10 Upper Street,Cape Breton,NS,B1C 1M6,45.920514,-59.973045,library or archives
Barry`S Bay Railway Station,19503 Opeongo Line,Madawaska Valley,ON,K0J 1B0,45.4886078,-77.6700841,museum
Alberta Museums Association,10408 124 Street,Edmonton,AB,T5N 1R5,53.535411,-113.507996,museum
Louise Riley Library,1904 14 Av Nw,Calgary,AB,T2N 1M5,51.0652428,-114.1038132,library or archives
Historic Zion Schoolhouse,1091 Finch Ave E,Toronto,ON,M2J 2X3,43.79036516,-79.3634074,museum
Olga Korper Gallery,17 Morrow Ave,Toronto,ON,M6R 2H9,43.65274405,-79.44659153,gallery
Temiskaming Art Gallery,325 Farr Dr,Temiskaming Shores,ON,P0J 1K0,47.4479214,-79.630485,gallery
Film2Frame Studio Gallery,655 Front Street,New Westminster,BC,,49.20233668,-122.9086714,gallery
New Year's Eve,2 Wellington Street W,Brampton,ON,L6Y 4R2,43.68503601,-79.75953453,festival site
Ontario Ballet Theatre,1133 St-Clair Ave W,Toronto,ON,M6E 1B1,43.67807445,-79.44129682,theatre/performance and concert hall
Beaches,2161 Queen Street East,Toronto,ON,M4L 1J1,43.67012963,-79.29852593,library or archives
Magnetawan Twp,4304 Sparks St N,Magnetawan,ON,P0A 1P0,45.6684411,-79.6434143,library or archives
Laiterie Charlevoix - Cheese Making ¨¦conomus¨¦e,1167 Boul Mgr De Laval,Baie Saint Paul,QC,G3Z 2W7,47.472544,-70.531038,museum
Founders' Museum & Pioneer Village,3190 61 Highway South,Oliver Paipoonge,ON,P7C 4V2,48.307646,-89.4159053,museum
Art Golf Classics,10 Hurontario St,Mississauga,ON,L5G 3G7,43.55558448,-79.58259456,artist
New Tecumseth,17 Victoria Street East,Innisfil,ON,L9R 1V6,44.1883249,-79.6983965,library or archives
George Mackie Library,8440 112Th Street,Delta,BC,V4C 4W9,49.156793,-122.912391,library or archives
Les Moulins De L'?sle-Aux-Coudres,36 Chemin Du-Moulin,L'Isle aux Coudres,QC,G0A 1X0,47.3714282,-70.4022618,heritage or historic site
Champlain Trail Museum And Pioneer Village,1032 Pembroke St East,Pembroke,ON,K8A 7M5,45.8235054,-77.0847031,museum
Dunlop Art Gallery,2311 12Th Ave,Regina,SK,S4P 3Z5,50.4484636,-104.6143338,gallery
Victoria Municipal Library,102 Stewart Ave,Victoria,MB,R0G 0X0,49.540899,-99.00642,library or archives
The Mojo Stars,530 Columbia Street,New Westminster,BC,,49.20341367,-122.9069978,artist
Archives At Whitby Public Library,405 Dundas St West,Whitby,ON,L1N 6A1,43.878857,-78.9460392,library or archives
I.M.A. Gallery (Ryerson Student Gallery),80 Spadina Ave,Toronto,ON,M5V 2J4,43.64605736,-79.39562143,gallery
Orange Art Gallery,290 City Ave,Ottawa,ON,K1Y 2W5,45.40791495,-75.71742453,gallery
Festival Du Cerf-Volant,2093 Amirault St,Dieppe,NB,,46.0539283,-64.68721894,festival site
YMCA of Niagara Children's Discovery Centre,360 Niagara St N,St. Catharines,ON,,43.18308983,-79.2245641,museum
Edition Gallery,2596 Edmonton Mall West,Edmonton,AB,,53.52068517,-113.6227683,gallery
Historic Atlas Coal Mine,110 Century Dr East,Drumheller,AB,T0J 1B0,51.3295459,-112.4813428,heritage or historic site
Rcmp Centennial Celebration Museum,10813 103 Avenue,Fairview,AB,T0H 1L0,56.0676379,-118.3686577,museum
Dani Lachuk Fine Artist,329 Walnut St,Kelowna,BC,,49.85868798,-119.4930439,artist
Evelyn Gregory,120 Trowell Ave,Toronto,ON,M6M 1L7,43.68618889,-79.47234815,library or archives
Lordly House Museum,133 Central Street,Chester,NS,B0J 1J0,44.5413327,-64.2426915,museum
Riverbend,460 Riverbend Square,Edmonton,AB,T6R 2X2,53.4683942,-113.5837689,library or archives
Fantasia International Film Festival,1455 Boul De-Maisonneuve O,Montr¨¦al,QC,H3G 1M8,45.497109,-73.578734,festival site
Galerie D'Art Jean-Claude Bergeron,150 Patrick St,Ottawa,ON,K1N 5J8,45.42947642,-75.6954504,gallery
North Huron Township,423 Queen St,North Huron,ON,N0M 1H0,43.73701261,-81.42947945,theatre/performance and concert hall
Oshawa Public Library - Mclaughlin Library,65 Bagot St,Oshawa,ON,L1H 1N2,43.89479885,-78.86502069,library or archives
Galerie De L'Uqam,1400 Rue Berri,Montr¨¦al,QC,H2L 4E3,45.514651,-73.560058,gallery
Aldergrove Library,26770 29Th Avenue,Langley,BC,V4W 3B8,49.055541,-122.481863,library or archives
Festival International Nuits D'Afrique,1435 Rue St-Alexandre,Montr¨¦al,QC,H3A 2G4,45.509892,-73.566821,festival site
Biblioth¨¨que De Pincourt,225 Boul Pincourt,Pincourt,QC,J7V 9T2,45.3849502,-73.9721918,library or archives
Lowrey's Roofing Specialists,38 Howden Ave,Ottawa,ON,K2G 3H6,45.3431425,-75.75590273,heritage or historic site
Greenwood Military Aviation Museum,1 Ward Rd,"Kings, Subd. A",NS,B0P 1N0,44.9887375,-64.8989627,museum
Canadian Lacrosse Hall of Fame & Museum,777 Columbia Street,New Westminster,BC,V3M 1B6,49.2016302,-122.9117763,museum
Biblioth¨¨que De Papineauville/Lochaber,294 Rue Papineau,Papineauville,QC,J0V 1R0,45.6178764,-75.019055,library or archives
Chan Centre For the Performing Art - Concert Hall,6265 Crescent Rd,Greater Vancouver A,BC,V6T 1Z1,49.269523,-123.255108,theatre/performance and concert hall
Canadian Football Hall of Fame & Museum,58 Jackson St W,Hamilton,ON,L8P 1L4,43.2552007,-79.8730366,museum
Mus¨¦e De Kent Inc.,150 Chemin Du Couvent,Bouctouche,NB,E4S 3C1,46.4789797,-64.7078244,museum
Gold Picture Frames Gallery Wall,3083 Kingston Road,Toronto,ON,,43.72679727,-79.23014454,gallery
Biblioth¨¨que D'Aguanish,106 Rue Jacques,Aguanish,QC,G0G 1A0,50.227791,-62.038454,library or archives
Yves Laroche Galerie D'Art,6355 Laurent St,Montr¨¦al,QC,H2S 3C3,45.5298583,-73.6074701,gallery
Local History Rooms: Saskatoon Public Library,311 23Rd Street East,Saskatoon,SK,S7K 0J6,52.129612,-106.6587807,library or archives
Bibliotheque De Brossard,7855 San Avenue,Brossard,QC,J4X 2A4,45.4551176,-73.4683436,library or archives
Doyle Building,400 George St,Moncton,NB,,46.08954948,-64.79004534,heritage or historic site
